x1,x2,y
firm,pigheaded,1
defend,attack,1
revolutionary,terrorist,1
disagree,slam,1
conservative,ultraconservative,1
rightwing,ultraconservative,1
progressive,leftwing,1
activist,leftwing,1
demonstration,disruption,1
prolife,antiabortion,1
polite,diplomatic,1
leader,dictator,1
dictator,murderer,1
dictator,despot,1
leader,despot,1
despot,murderer,1
revolutionist,murderer,1
revolutionist,agitator,1
revolutionist,rebel,1
easygoing,lazy,1
easygoing,slovenly,1
lazy,slovenly,1
epicure,gourmand,1
gourmand,glutton,1
overeater,glutton,1
epicure,overeater,1
thrifty,tight,1
tight,stingy,1
thrifty,stingy,1
forehanded,stingy,1
forehanded,illiberal,1
stickler,pedant,1
perfectionist,pedant,1
perfectionist,nitpicker,1
disciplinarian,nitpicker,1
vindicated,cleared,1
vindicated,whitewashed,1
cleared,whitewashed,1
eye,ogle,1
ogle,perv,1
eye,perv,1
observe,ogle,1
charm,seduce,1
seduce,harass,1
harass,rape,1
seduce,rape,1
enhance,overstate,1
overstate,falsify,1
enhance,falsify,1
elaborate,overstate,1
elaborate,overdo,1
enhance,overdo,1
liberated,eccentric,1
individualistic,eccentric,1
liberated,strange,1
individualistic,strange,1
strange,freak,1
eccentric,crazy,1
strange,crazy,1
eccentric,wild,1
strange,wild,1
liberated,crazy,1
individualistic,crazy,1
liberated,wild,1
individualistic,wild,1
liberated,freak,1
individualistic,freak,1
criticize,thrash,1
criticize,slam,1
criticize,roast,1
question,blame,1
probe,smack,1
question,hit,1
undocumented,illegal,1
catch,nail,1
arrest,nail,1
duplicity,insincerity,1
insincerity,hypocrisy,1
duplicity,hypocrisy,1
demonstration,revolution,1
whistleblower,snitch,1
whistleblower,tattletale,1
whistleblower,fink,1
informer,snitch,1
informant,snitch,1
source,snitch,1
informer,tattletale,1
informant,tattletale,1
source,tattletale,1
tipster,snitch,1
tipster,tattletale,1
tipster,fink,1
reconsidered,changed,1
reconsidered,renege,1
reconsidered,welsh,1
changed,welsh,1
changed,renege,1
exuberant,talkative,1
talkative,drunk,1
exuberant,drunk,1
energetic,talkative,1
energetic,uncontrollable,1
uncontrollable,energetic,1
energetic,drunk,1
sparkling,talkative,1
sparkling,drunk,1
exuberant,drunkard,1
talkative,drunkard,1
energetic,drunkard,1
sparkling,drunkard,1
conversational,drunk,1
conversational,drunkard,1
