x1,x2,y
firm,obstinate,Yes
obstinate,pigheaded,Yes
firm ,pigheaded,Yes
defend,attack,Yes
counterattack,attack,Yes
retaliation,attack,Yes
attack,bombard,Yes
ask,beg,Yes
ask,demand,Yes
conservative,hardliner,Yes
rightwing,hardliner,Yes
demonstration,protest,Yes
protest,riot,Yes
demonstration,riot,Yes
probe,harass,Yes
activist,terrorist,Yes
protestor,terrorist,Yes
revolutionary,terrorist,Yes
disagree,slam,Yes
conservative,ultraconservative,Yes
rightwing,ultraconservative,Yes
progressive,leftwing,Yes
activist,leftwing,Yes
protest,disrupt,Yes
demonstration,disruption,Yes
prolife,antiabortion,Yes
polite,diplomatic,Yes
leader,dictator,Yes
dictator,murderer,Yes
dictator,despot,Yes
leader,despot,Yes
despot,murderer,Yes
revolutionist,murderer,Yes
revolutionist,agitator,Yes
revolutionist,rebel,Yes
easygoing,lazy,Yes
easygoing,slovenly,Yes
lazy,slovenly,Yes
epicure,gourmand,Yes
gourmand,glutton,Yes
overeater,glutton,Yes
epicure,overeater,Yes
thrifty,tight,Yes
tight,stingy,Yes
thrifty,stingy,Yes
economical,stingy,Yes
forehanded,stingy,Yes
economical,miserly,Yes
economical,parsimonious,Yes
forehanded,illiberal,Yes
stickler,pedant,Yes
perfectionist,pedant,Yes
perfectionist,nitpicker,Yes
disciplinarian,nitpicker,Yes
vindicated,cleared,Yes
vindicated,whitewashed,Yes
cleared,whitewashed,Yes
eye,ogle,Yes
ogle,perv,Yes
eye,perv,Yes
observe,ogle,Yes
observe ,perv,Yes
charm,seduce,Yes
seduce,harass,Yes
harass,rape,Yes
seduce,rape,Yes
enhance,overstate,Yes
overstate,falsify,Yes
enhance,falsify,Yes
elaborate,overstate,Yes
elaborate,overdo,Yes
enhance,overdo,Yes
liberated,eccentric,Yes
individualistic,eccentric,Yes
liberated,strange,Yes
individualistic,strange,Yes
liberated,weird,Yes
individualistic,weird,Yes
unconventional ,weird,Yes
ecentric,freak,Yes
strange,freak,Yes
weird,freak,Yes
eccentric,crazy,Yes
strange,crazy,Yes
weird,crazy,Yes
eccentric,wild,Yes
strange,wild,Yes
weird,wild,Yes
liberated,crazy,Yes
individualistic,crazy,Yes
unconventional ,crazy,Yes
liberated,wild,Yes
individualistic,wild,Yes
unconventional ,wild,Yes
liberated,freak,Yes
individualistic,freak,Yes
unconventional ,freak,Yes
criticize,thrash,Yes
criticize,slam,Yes
criticize,roast,Yes
question,blame,Yes
probe,smack,Yes
question,hit,Yes
undocumented,illegal,Yes
catch,nail,Yes
arrest,nail,Yes
duplicity,insincerity,Yes
insincerity,hypocrisy,Yes
duplicity,hypocrisy,Yes
grab,rip,Yes
demonstration,revolution,Yes
whistleblower,snitch,Yes
whistleblower,tattletale,Yes
whistleblower,fink,Yes
informer,snitch,Yes
informant,snitch,Yes
source,snitch,Yes
informer,tattletale,Yes
informant,tattletale,Yes
source,tattletale,Yes
tipster,snitch,Yes
tipster,tattletale,Yes
tipster,fink,Yes
indignant,annoyed,Yes
annoyed,mad,Yes
reconsidered,changed,Yes
reconsidered,renege,Yes
reconsidered,welsh,Yes
changed,welsh,Yes
changed,renege,Yes
exuberant,talkative,Yes
talkative,drunk,Yes
exuberant,drunk,Yes
energetic,talkative,Yes
energetic,drunk,Yes
sparkling,talkative,Yes
sparkling,drunk,Yes
exuberant,drunkard,Yes
talkative,drunkard,Yes
energetic,drunkard,Yes
sparkling,drunkard,Yes
conversational,drunk,Yes
conversational,drunkard,Yes
energetic,conversational,Yes
exuberant,conversational,Yes
sparkling,conversational,Yes
lively,uncontrollable,Yes
