,x1,x2,y,l,average_score_word1,average_score_word2
0,protest,disrupt,1,0.16666666666666666,0.0,-0.16666666666666666
1,protest,demonstration,-1,-0.1,0.0,0.1
2,protest,riot,1,-0.020833333333333332,0.0,0.020833333333333332
3,riot,protest,-1,0.020833333333333332,0.020833333333333332,0.0
4,disrupt,protest,-1,-0.16666666666666666,-0.16666666666666666,0.0
5,demonstration,protest,1,0.1,0.1,0.0
6,weird,freak,1,-0.041666666666666664,-0.08333333333333333,-0.041666666666666664
7,weird,crazy,1,0.04166666666666667,-0.08333333333333333,-0.125
8,weird,wild,1,-0.046568627450980386,-0.08333333333333333,-0.03676470588235294
9,weird,liberated,-1,-0.14583333333333331,-0.08333333333333333,0.0625
10,weird,individualistic,-1,0.10416666666666667,-0.08333333333333333,-0.1875
11,liberated,weird,1,0.14583333333333331,0.0625,-0.08333333333333333
12,individualistic,weird,1,-0.10416666666666667,-0.1875,-0.08333333333333333
13,freak,weird,-1,0.041666666666666664,-0.041666666666666664,-0.08333333333333333
14,crazy,weird,-1,-0.04166666666666667,-0.125,-0.08333333333333333
15,wild,weird,-1,0.046568627450980386,-0.03676470588235294,-0.08333333333333333
16,leader,murderer,1,0.0,0.0,0.0
17,tyrant,despot,0,0.0,-0.125,-0.125
18,dictator,autocrat,0,0.125,0.0,-0.125
19,easygoing,relaxed,0,-0.20833333333333334,-0.375,-0.16666666666666666
20,frugal,economical,0,-0.25,-0.25,0.0
21,weird,strange,0,-0.041666666666666664,-0.08333333333333333,-0.041666666666666664
22,firm,persistent,0,0.10714285714285715,-0.017857142857142856,-0.125
23,beg,plead,0,0.0,-0.03125,-0.03125
24,conservative,rightwing,0,some error,some error,some error
25,polite,respectful,0,0.20833333333333331,0.4583333333333333,0.25
26,easygoing,carefree,0,-0.6875,-0.375,0.3125
27,weird,strange,0,-0.041666666666666664,-0.08333333333333333,-0.041666666666666664
28,weird,quirky,0,0.4166666666666667,-0.08333333333333333,-0.5
29,firm,unyielding,0,0.35714285714285715,-0.017857142857142856,-0.375
30,firm,headstrong,0,0.48214285714285715,-0.017857142857142856,-0.5
31,polite,civil,0,0.375,0.4583333333333333,0.08333333333333333
